product_id,batch_number,manufacturer_id,manufacturer_name,material_type,material_category,weight_kg,carbon_footprint,recyclable_percentage,gst_hsn_code,manufacturing_date,expiry_date,qr_code_hash,gps_lat,gps_lon,source
PAPM005202602261731017998,BATCH-202601-822,M005,GreenGlass India,Paper/Cardboard,paper,15.33,7.67,0.75,3917317,1769515560.246387,1793189160.246387,af424bd75bf19bbb,12.952072240238723,77.58285922053487,manufacturing
ALUM001202602261731018081,BATCH-202601-257,M001,Tata Steel,Aluminum,metal,36.0,288.02,0.95,3944250,1769515732.331197,,6da3f9ba9887b987,22.83473472239958,86.2646484388599,manufacturing
GLAM001202602261731016387,BATCH-202601-224,M001,Tata Steel,Glass,glass,10.8,8.64,0.8,3910162,1769515905.498184,,4a1ae0c752c8d7bc,22.708724236133953,86.21260874804109,manufacturing
LITM004202602261731012569,BATCH-202601-762,M004,Kumar Paper Mills,Lithium Battery,e_waste,2.51,62.69,0.6,3974730,1769515937.403575,,f9c61c0f079ca2d6,13.176808554836244,80.31803571234863,manufacturing
PETM007202602261731014204,BATCH-202601-797,M007,Apple India,PET Plastic,plastic,24.34,60.86,0.85,3960398,1769515961.459777,,bbfe11c7bddee90a,12.965342565673497,77.59118091969223,manufacturing
COPM004202602261731018275,BATCH-202601-105,M004,Kumar Paper Mills,Copper,metal,1.4,4.91,0.92,3942510,1769516074.635051,,1726532655f88421,13.14407275486127,80.37011826012106,manufacturing
ALUM002202602261731016217,BATCH-202601-196,M002,Relacy Plastics,Aluminum,metal,36.49,291.95,0.95,3920525,1769516223.767927,,a8cf493396371442,18.984819985392164,72.95965482679355,manufacturing
ALUM008202602261731016672,BATCH-202601-854,M008,Samsung India,Aluminum,metal,34.66,277.29,0.95,3937631,1769516260.010631,,67995a8496310ab3,28.605762522018004,77.4795749753664,manufacturing
E-WM005202602261731018113,BATCH-202601-061,M005,GreenGlass India,E-Waste PCB,e_waste,2.68,40.26,0.7,3925916,1769516443.147696,,5dc2a6c2a0fec231,13.028320121971046,77.51912736353685,manufacturing
LITM001202602261731018208,BATCH-202601-483,M001,Tata Steel,Lithium Battery,e_waste,35.27,881.78,0.6,3910808,1769516456.599414,,93595068d2f998be,22.80748728591717,86.24768613538318,manufacturing
ALUM005202602261731013439,BATCH-202601-674,M005,GreenGlass India,Aluminum,metal,12.13,97.07,0.95,3980273,1769516525.452712,,9987c6cd3898f753,12.943932410210511,77.54180918115051,manufacturing
STEM001202602261731012941,BATCH-202601-961,M001,Tata Steel,Steel,metal,17.74,31.93,0.88,3914999,1769516561.063744,,e5325151abd67668,22.74750259246291,86.11202142620456,manufacturing
