recovery_id,product_id,recovery_center_id,recovery_center_name,recovery_date,material_type,weight_recovered,condition,recycling_method,recovered_by,circular_credit_amount,gps_lat,gps_lon,verification_hash
REC-20260128-27662,ALUM002202602261731018988,R002,Mumbai Waste Warriors,1769604485.980201,Aluminum,37.48,good,pyrolysis,Collector-7,1311.77,12.974917003024217,77.88698112437045,0cf0d5d81f2579b6
REC-20260128-95156,E-WM001202602261731018084,R007,Ahmedabad Waste,1769607709.291649,E-Waste PCB,31.4,excellent,pyrolysis,Collector-53,1412.94,12.827300624890855,77.42569175104443,8cda73fdb17656bc
REC-20260128-39146,LITM002202602261731015223,R006,Pune Recycling,1769610565.565964,Lithium Battery,25.26,end_of_life,chemical,Collector-6,1136.7,13.292380211687084,77.68943295943996,6743ff4fbdba130c
REC-20260128-21268,HDPM004202602261731017099,R007,Ahmedabad Waste,1769611650.233223,HDPE Plastic,6.26,damaged,composting,Collector-40,93.95,12.497250969878989,77.82029812134054,4c67b7d6f5930b45
REC-20260128-20819,COPM005202602261731014122,R008,Hyderabad Green,1769619791.673224,Copper,19.94,good,chemical,Collector-7,698.0,12.839821744650324,77.6463773985126,8d89d1221ad9b070
REC-20260128-71192,STEM006202602261731013837,R002,Mumbai Waste Warriors,1769620969.346873,Steel,18.45,good,pyrolysis,Collector-16,645.73,13.42502505760797,77.92727825795659,f318548a101d586f
REC-20260128-94351,E-WM007202602261731011430,R003,Bengaluru E-Parisara,1769621166.327829,E-Waste PCB,2.77,damaged,composting,Collector-23,124.77,12.855558550649574,77.86953289937352,961ad99885ca4b55
REC-20260129-39945,COPM007202602261731018430,R005,Kolkata Recovery,1769634395.067729,Copper,2.9,damaged,pyrolysis,Collector-53,101.6,12.574145040566862,77.82098995976564,66bc5c39cc08fc41
REC-20260129-93160,E-WM005202602261731018165,R002,Mumbai Waste Warriors,1769637298.749858,E-Waste PCB,35.78,excellent,pyrolysis,Collector-87,1609.98,12.781702070143348,77.86839185190927,5e35f7897eb3343a
REC-20260129-44385,STEM005202602261731011369,R008,Hyderabad Green,1769639370.97784,Steel,33.48,excellent,composting,Collector-79,1171.91,12.971119173930063,77.45170999404182,e1604e16e6f9b346
REC-20260129-81854,LITM001202602261731018824,R003,Bengaluru E-Parisara,1769640221.263852,Lithium Battery,7.09,excellent,mechanical,Collector-64,319.27,13.138967222174468,77.8486641916928,dd02ca23a97dfaaf
REC-20260129-22882,HDPM002202602261731012700,R008,Hyderabad Green,1769642231.666672,HDPE Plastic,1.16,damaged,chemical,Collector-63,17.44,12.974823921993078,77.86648004256556,1fa810a2a51e47bc
REC-20260129-97155,E-WM005202602261731019515,R004,Chennai Green Center,1769646860.205523,E-Waste PCB,33.53,damaged,composting,Collector-98,1508.7,13.432326441224717,77.40038134398529,8138e975a31ac32d
REC-20260129-67195,E-WM005202602261731012007,R002,Mumbai Waste Warriors,1769652644.678793,E-Waste PCB,8.82,end_of_life,composting,Collector-9,397.1,12.5112661150366,78.0753327844939,adb691b9c29e82a4
REC-20260129-29841,COPM001202602261731017901,R005,Kolkata Recovery,1769656521.715243,Copper,20.71,end_of_life,mechanical,Collector-3,724.76,12.481023949664573,77.39480671811833,405072a5ea783f27
REC-20260129-60787,ALUM003202602261731015320,R003,Bengaluru E-Parisara,1769660904.232627,Aluminum,42.2,good,chemical,Collector-68,1477.14,13.358987302155795,77.21635253475023,ccfe23481e819b98
REC-20260129-26903,PETM006202602261731014048,R004,Chennai Green Center,1769670521.842601,PET Plastic,9.74,excellent,chemical,Collector-23,146.13,12.81761169063497,77.55509487121881,ad4182b6501f294f
REC-20260129-70321,PAPM007202602261731015158,R001,Delhi Recycling Hub,1769674000.676873,Paper/Cardboard,21.43,excellent,pyrolysis,Collector-95,171.46,12.531484234190488,77.94142054427455,7d2256fe0a73c615
REC-20260129-80002,GLAM007202602261731011341,R004,Chennai Green Center,1769686084.939848,Glass,11.86,damaged,composting,Collector-66,59.28,13.078634012513,77.1729002048709,86423d6de4762dd7
REC-20260129-63904,ALUM001202602261731018081,R002,Mumbai Waste Warriors,1769688532.331197,Aluminum,31.34,good,chemical,Collector-84,1096.75,13.381950576267858,77.71369606988493,0b72b93d2210f424
REC-20260129-13920,COPM004202602261731018275,R004,Chennai Green Center,1769688874.635051,Copper,1.16,damaged,composting,Collector-68,40.7,12.550931455637075,77.1343931466381,fffd324b815943c8
REC-20260129-81948,LITM002202602261731013222,R003,Bengaluru E-Parisara,1769688994.732963,Lithium Battery,8.23,good,mechanical,Collector-22,370.38,12.62401304268435,77.8779444698114,f63db28d8495bdcb
REC-20260129-66446,PETM008202602261731018257,R006,Pune Recycling,1769689553.845443,PET Plastic,22.76,excellent,composting,Collector-46,341.33,13.119082336429972,77.36187365043772,fca75d1c3c7ff1a3
REC-20260129-94248,E-WM004202602261731017364,R006,Pune Recycling,1769691472.891531,E-Waste PCB,38.91,damaged,composting,Collector-55,1750.74,12.480187336480952,77.81060619212067,2a31e596785a4ce3
REC-20260129-76192,ORGM008202602261731018255,R006,Pune Recycling,1769691700.232384,Organic Waste,5.9,good,mechanical,Collector-45,17.7,13.455138739205127,78.05797254621662,0fe1838d95433420
REC-20260129-80801,GLAM001202602261731019908,R008,Hyderabad Green,1769699319.74842,Glass,33.78,good,pyrolysis,Collector-93,168.89,12.618344749442857,77.96519777617057,6fbdc2bbea97d79c
REC-20260129-14037,LITM007202602261731018804,R004,Chennai Green Center,1769702901.963726,Lithium Battery,30.29,end_of_life,mechanical,Collector-42,1362.95,13.153753038553537,77.79158395036228,5f7d0931e335e26d
REC-20260129-53878,ORGM008202602261731016420,R007,Ahmedabad Waste,1769704827.580016,Organic Waste,21.84,good,chemical,Collector-81,65.53,13.456066537643748,77.88562620504032,ff4bc1108b8e8f69
REC-20260129-93230,STEM005202602261731016904,R006,Pune Recycling,1769708487.868869,Steel,42.49,damaged,chemical,Collector-17,1487.15,12.51708011046015,77.16064974079157,4fb72f9228bca9bd
REC-20260130-40392,GLAM003202602261731013675,R007,Ahmedabad Waste,1769711535.431186,Glass,16.07,good,composting,Collector-22,80.36,12.845532332050425,77.14954565944059,939fc320c893869f
REC-20260130-92361,ORGM003202602261731016963,R006,Pune Recycling,1769711608.912094,Organic Waste,17.04,good,mechanical,Collector-87,51.13,13.192413235402512,78.07553456280087,44090d672a46bda0
REC-20260130-15254,ORGM001202602261731016552,R008,Hyderabad Green,1769712967.331377,Organic Waste,39.06,end_of_life,chemical,Collector-23,117.18,12.599428523428317,77.14965888431477,eb05fa242f2f42f7
REC-20260130-49037,LITM007202602261731018798,R008,Hyderabad Green,1769713009.677199,Lithium Battery,0.71,damaged,composting,Collector-10,32.17,13.212863683032452,77.70725700183259,abd72b8d460c5aeb
REC-20260130-11771,E-WM003202602261731013713,R005,Kolkata Recovery,1769714565.695507,E-Waste PCB,18.31,end_of_life,mechanical,Collector-28,823.73,13.231641914439038,78.05783661836684,1641aa1c1748c2d8
REC-20260130-57887,E-WM005202602261731012367,R002,Mumbai Waste Warriors,1769716700.389358,E-Waste PCB,24.86,good,chemical,Collector-94,1118.61,13.031118533400655,77.10934188645271,5d824c0cf8eefc60
REC-20260130-44329,E-WM004202602261731011668,R006,Pune Recycling,1769723586.843171,E-Waste PCB,5.84,end_of_life,chemical,Collector-42,262.97,12.65095885413963,77.89810623516048,3cc8c5c133f46006
REC-20260130-31997,HDPM008202602261731019147,R002,Mumbai Waste Warriors,1769729829.746342,HDPE Plastic,22.38,damaged,chemical,Collector-62,335.75,13.069284991072353,78.01909222354564,b0902670aa6e13a4
REC-20260130-39133,PAPM004202602261731016418,R007,Ahmedabad Waste,1769733621.944298,Paper/Cardboard,18.64,damaged,mechanical,Collector-50,149.08,12.609215720476993,77.93821033492796,0ec9ee956f1ae5c1
REC-20260130-63870,STEM004202602261731019996,R001,Delhi Recycling Hub,1769733672.030518,Steel,2.68,good,pyrolysis,Collector-61,93.82,13.332541218676084,77.33375511806001,0e6685395dae07f3
REC-20260130-92602,E-WM006202602261731011186,R002,Mumbai Waste Warriors,1769734792.403922,E-Waste PCB,10.68,end_of_life,composting,Collector-91,480.7,13.098777593645632,77.33289577994225,a7763a4ef0fc5247
REC-20260130-20172,LITM003202602261731015402,R005,Kolkata Recovery,1769738168.980529,Lithium Battery,13.28,excellent,chemical,Collector-5,597.64,13.222020907500577,78.04420766812342,c29a1a485ae494a8
REC-20260130-44708,LITM001202602261731013584,R002,Mumbai Waste Warriors,1769741946.402312,Lithium Battery,20.49,good,pyrolysis,Collector-29,922.07,12.48673050523022,77.23374118304424,7fd776f7c4492135
REC-20260130-95684,PAPM004202602261731019792,R004,Chennai Green Center,1769745955.954725,Paper/Cardboard,21.41,damaged,chemical,Collector-20,171.25,13.183851596447694,77.25952087183506,efc8588ce6ec5445
REC-20260130-37335,COPM003202602261731019068,R006,Pune Recycling,1769746837.188466,Copper,33.03,good,composting,Collector-7,1155.98,12.934181844322225,77.24339602182881,428f07c68ea126f3
REC-20260130-77834,GLAM002202602261731012350,R005,Kolkata Recovery,1769752374.766051,Glass,24.36,excellent,chemical,Collector-54,121.8,13.163829629545498,77.75362133568031,44da2be7d3f9a000
REC-20260130-44278,PAPM003202602261731017938,R004,Chennai Green Center,1769752660.981176,Paper/Cardboard,33.33,end_of_life,mechanical,Collector-13,266.67,12.744181240198806,77.26299969932539,08238680e4f6ea12
REC-20260130-85445,PAPM003202602261731011718,R004,Chennai Green Center,1769757152.167958,Paper/Cardboard,10.71,end_of_life,chemical,Collector-29,85.71,13.146110372254137,77.82503686898006,68a2cbe44ebedbcf
